date,time,CD,CM,CU,PREC,RH2m,SNOW,ST,SWD,SWDtop,TT2M,WS100m,WS10m,consumption,generation
5/14/19,23:00,0,0,0,0,67.01,0,6.1,0,0,8.12,7.83,1.89,0.067620801,0
5/14/19,23:15,0,0,0,0,69.01,0,5.27,0,0,7.65,8.02,1.86,0.074922133,0
5/14/19,23:30,0,0,0,0,69.83,0,3.75,0,0,7.34,7.82,1.82,0.053555465,0
5/14/19,23:45,0,0,0,0,71,0,2.55,0,0,6.99,7.24,1.72,0.055848667,0
5/15/19,0:00,0,0,0,0,73.49,0,1.88,0,0,6.29,6.61,1.61,0.084348267,0
5/15/19,0:15,0,0,0,0,78.93,0,1.86,0,0,4.84,6.21,1.51,0.050594667,0
5/15/19,0:30,0,0,0,0,80.35,0,0.91,0,0,4.5,6.17,1.51,0.050317467,0
5/15/19,0:45,0,0,0,0,83.72,0,0.84,0,0,3.63,6.09,1.38,0.053533733,0
5/15/19,1:00,0,0,0,0,83.4,0,-0.02,0,0,3.75,6,1.3,0.062222667,0
5/15/19,1:15,0,0,0,0,83.51,0,-0.33,0,0,3.75,5.74,1.33,0.05044,0
5/15/19,1:30,0,0,0,0,87.73,0,-0.29,0,0,2.76,5.18,1.16,0.051436534,0
5/15/19,1:45,0,0,0,0,88.02,0,-0.78,0,0,2.72,4.57,1.2,0.0545904,0
5/15/19,2:00,0,0,0,0,90.63,0,-0.81,0,0,2.09,4.09,1.35,0.059881333,0
5/15/19,2:15,0,0,0,0,91.78,0,-0.92,0,0,1.8,3.86,1.53,0.050861067,0
5/15/19,2:30,0,0,0,0,91.31,0,-1.76,0,0,1.84,4.28,1.65,0.055490667,0
5/15/19,2:45,0,0,0,0,91.3,0,-2.21,0,0,1.82,4.7,1.55,0.065254666,0
5/15/19,3:00,0,0,0,0,91.32,0,-2.51,0,0,1.78,4.77,1.36,0.049242267,0
5/15/19,3:15,0,0,0,0,91.99,0,-2.74,0,0,1.56,4.73,1.44,0.053272667,0
5/15/19,3:30,0,0,0,0,94.59,0,-2.25,0,0,0.55,4.61,1.6,0.055376666,0
5/15/19,3:45,0,0,0,0,95.02,0,-2.95,0,0,0.47,4.41,2.03,0.067822001,0.000609063
5/15/19,4:00,0,0,0,0,97.13,0,-2.46,0,0,-0.26,4.31,2.16,0.057685466,0.005403606
5/15/19,4:15,0,0,0,0,97.01,0,-2.98,0,0,-0.19,4.32,2.31,0.093222001,0.011906068
5/15/19,4:30,0,0,0,0,96.82,0,-3.37,0,0,-0.16,4.31,2.12,0.074344401,0.019063239
5/15/19,4:45,0,0,0,0,98.09,0,-3.11,0,0,-0.55,4.23,2.2,0.086028133,0.026862035
5/15/19,5:00,0,0,0,0,98.42,0,-3.39,0,0,-0.46,4.03,2.1,0.081118934,0.045167558
5/15/19,5:15,0.01,0,0,0,98.92,0,-0.78,84.78,186.75,-0.38,3.79,1.53,0.094729335,0.069309454
5/15/19,5:30,0,0,0,0,97.6,0,0.69,118.22,233.86,0.67,3.65,0.94,0.146163999,0.096612327
5/15/19,5:45,0,0,0,0,96.53,0,2.15,152.76,280.07,1.83,3.63,0.81,0.129203732,0.135549264
5/15/19,6:00,0,0,0,0,95.42,0,3.54,188.26,325.5,2.93,3.69,0.91,0.126477599,0.171934529
5/15/19,6:15,0,0,0,0,93.28,0,5.11,244.64,395.2,4.03,3.72,0.86,0.130065198,0.219945878
5/15/19,6:30,0,0,0,0,89.1,0,6.71,283.68,442.38,5.25,3.67,0.86,0.157899332,0.268700705
5/15/19,6:45,0,0,0,0,82.55,0,8.29,321.86,488.12,6.51,3.52,1.06,0.164728931,0.301334242
5/15/19,7:00,0,0,0,0,76.89,0,9.91,359.28,532.59,7.7,3.23,1.09,0.160858532,0.344792118
5/15/19,7:15,0,0,0,0,71.48,0,11.51,416.07,599.24,8.84,2.64,1.3,0.169840537,0.374643757
5/15/19,7:30,0,0,0,0,66.99,0,12.8,454,643.29,9.78,2.55,1.42,0.183544934,0.40680805
5/15/19,7:45,0,0,0,0,62.66,0,13.8,490.45,685.43,10.62,2.82,1.58,0.210734673,0.432974561
5/15/19,8:00,0,0,0,0,58.6,0,14.53,525.61,725.91,11.31,3.24,1.85,0.170435336,0.457703439
5/15/19,8:15,0,0,0,0,54.79,0,15.22,577.19,784.97,11.93,3.77,2.14,0.182405997,0.480639871
5/15/19,8:30,0,0,0,0,51.31,0,15.73,610.48,822.88,12.44,4.3,2.43,0.174418671,0.495718206
5/15/19,8:45,0,0,0,0,47.95,0,16.16,641.98,858.57,12.85,4.85,2.72,0.184467331,0.510514062
5/15/19,9:00,0,0,0,0,44.77,0,16.49,671.91,892.3,13.16,5.28,2.96,0.173880001,0.539778648
5/15/19,9:15,0,0,0,0,42.43,0,16.86,714.35,939.74,13.46,5.64,3.12,0.166479733,0.581131334
5/15/19,9:30,0,0,0,0,40.57,0,17.17,740.54,968.93,13.74,5.99,3.28,0.177516667,0.571492411
5/15/19,9:45,0,0,0,0,38.81,0,17.44,764.68,995.72,13.98,6.29,3.42,0.190651468,0.586108915
5/15/19,10:00,0,0,0,0,37.18,0,17.67,787.03,1020.4,14.18,6.47,3.51,0.175162664,0.601027358
5/15/19,10:15,0,0,0,0,35.87,0,17.9,816.75,1053,14.35,6.57,3.56,0.169518403,0.615244406
5/15/19,10:30,0,0,0,0,34.78,0,18.08,833.65,1071.48,14.5,6.66,3.6,0.211052533,0.613225865
5/15/19,10:45,0,0,0,0,33.38,0,18.24,848.47,1087.55,14.63,6.73,3.65,0.151986666,0.626677595
5/15/19,11:00,0,0,0,0,31.15,0,18.37,861.49,1101.5,14.75,6.84,3.72,0.196800533,0.628700977
5/15/19,11:15,0,0,0,0,27.89,0,18.52,876.82,1117.03,14.88,6.95,3.77,0.191794532,0.636791657
